shipment_id,origin_city,origin_lat,origin_lng,dest_city,dest_lat,dest_lng,weight_kg,volume_m3,length_cm,width_cm,height_cm,delivery_start,delivery_end,priority,cargo_type
SHP-0001,Delhi,28.6139,77.2090,Mumbai,19.0760,72.8777,1200,5.4,200,150,180,2026-03-08T08:00:00+00:00,2026-03-09T18:00:00+00:00,normal,general
SHP-0002,Mumbai,19.0760,72.8777,Chennai,13.0827,80.2707,350,0.288,80,60,60,2026-03-08T09:00:00+00:00,2026-03-09T14:00:00+00:00,express,fragile
SHP-0003,Bangalore,12.9716,77.5946,Delhi,28.6139,77.2090,3000,9.0,250,180,200,2026-03-08T07:00:00+00:00,2026-03-10T18:00:00+00:00,critical,general
SHP-0004,Kolkata,22.5726,88.3639,Pune,18.5204,73.8567,500,1.8,120,100,150,2026-03-08T10:00:00+00:00,2026-03-09T22:00:00+00:00,normal,refrigerated
SHP-0005,Hyderabad,17.3850,78.4867,Ahmedabad,23.0225,72.5714,2800,7.2,300,200,120,2026-03-08T06:00:00+00:00,2026-03-10T06:00:00+00:00,express,hazardous
SHP-0006,Jaipur,26.9124,75.7873,Kochi,9.9312,76.2673,680,1.152,120,80,120,2026-03-08T08:30:00+00:00,2026-03-09T20:00:00+00:00,normal,general
SHP-0007,Lucknow,26.8467,80.9462,Nagpur,21.1458,79.0882,1500,4.32,180,160,150,2026-03-08T07:30:00+00:00,2026-03-09T16:00:00+00:00,normal,fragile
SHP-0008,Pune,18.5204,73.8567,Bangalore,12.9716,77.5946,920,1.92,160,100,120,2026-03-08T09:30:00+00:00,2026-03-09T21:00:00+00:00,express,general
SHP-0009,Chennai,13.0827,80.2707,Kolkata,22.5726,88.3639,4200,10.8,300,180,200,2026-03-08T06:30:00+00:00,2026-03-10T12:00:00+00:00,critical,refrigerated
SHP-0010,Ahmedabad,23.0225,72.5714,Delhi,28.6139,77.2090,150,0.096,80,60,20,2026-03-08T11:00:00+00:00,2026-03-09T18:00:00+00:00,normal,general
SHP-0011,Nagpur,21.1458,79.0882,Mumbai,19.0760,72.8777,2200,6.0,200,150,200,2026-03-08T08:00:00+00:00,2026-03-09T20:00:00+00:00,express,general
SHP-0012,Surat,21.1702,72.8311,Hyderabad,17.3850,78.4867,750,0.72,120,100,60,2026-03-08T10:30:00+00:00,2026-03-09T16:00:00+00:00,normal,fragile
SHP-0013,Vadodara,22.3072,73.1812,Jaipur,26.9124,75.7873,1800,3.6,200,120,150,2026-03-08T07:00:00+00:00,2026-03-09T19:00:00+00:00,normal,general
SHP-0014,Indore,22.7196,75.8577,Chennai,13.0827,80.2707,420,0.384,80,80,60,2026-03-08T09:00:00+00:00,2026-03-10T09:00:00+00:00,critical,hazardous
SHP-0015,Kochi,9.9312,76.2673,Lucknow,26.8467,80.9462,3500,10.0,250,200,200,2026-03-08T06:00:00+00:00,2026-03-10T18:00:00+00:00,express,general
SHP-0016,Delhi,28.6139,77.2090,Bangalore,12.9716,77.5946,60,0.019,50,40,30,2026-03-08T14:00:00+00:00,2026-03-09T14:00:00+00:00,normal,fragile
SHP-0017,Mumbai,19.0760,72.8777,Kolkata,22.5726,88.3639,4800,12.0,300,200,200,2026-03-08T05:00:00+00:00,2026-03-10T17:00:00+00:00,critical,general
SHP-0018,Hyderabad,17.3850,78.4867,Pune,18.5204,73.8567,1100,2.16,180,120,100,2026-03-08T08:00:00+00:00,2026-03-09T15:00:00+00:00,normal,refrigerated
SHP-0019,Bangalore,12.9716,77.5946,Surat,21.1702,72.8311,280,0.192,60,40,80,2026-03-08T10:00:00+00:00,2026-03-09T22:00:00+00:00,express,fragile
SHP-0020,Chennai,13.0827,80.2707,Ahmedabad,23.0225,72.5714,2500,7.5,250,150,200,2026-03-08T07:00:00+00:00,2026-03-10T07:00:00+00:00,normal,general
SHP-0021,Pune,18.5204,73.8567,Delhi,28.6139,77.2090,890,1.44,120,100,120,2026-03-08T09:00:00+00:00,2026-03-09T21:00:00+00:00,normal,general
SHP-0022,Jaipur,26.9124,75.7873,Mumbai,19.0760,72.8777,1650,3.24,180,150,120,2026-03-08T06:30:00+00:00,2026-03-09T18:30:00+00:00,express,general
SHP-0023,Kolkata,22.5726,88.3639,Nagpur,21.1458,79.0882,320,0.288,60,60,80,2026-03-08T11:00:00+00:00,2026-03-09T23:00:00+00:00,normal,fragile
SHP-0024,Lucknow,26.8467,80.9462,Hyderabad,17.3850,78.4867,1900,4.5,250,150,120,2026-03-08T08:00:00+00:00,2026-03-10T08:00:00+00:00,critical,general
SHP-0025,Nagpur,21.1458,79.0882,Kochi,9.9312,76.2673,700,0.96,160,100,60,2026-03-08T07:30:00+00:00,2026-03-09T19:30:00+00:00,normal,refrigerated
SHP-0026,Delhi,28.6139,77.2090,Chennai,13.0827,80.2707,,,,,,,,,,
SHP-0027,,,,Mumbai,19.0760,72.8777,800,0.72,120,100,60,2026-03-08T09:00:00+00:00,2026-03-09T18:00:00+00:00,normal,general
SHP-0028,Bangalore,12.9716,77.5946,Pune,18.5204,73.8567,1200,2.16,180,120,100,2026-03-08T08:00:00+00:00,2026-03-09T20:00:00+00:00,,
SHP-0029,Kolkata,22.5726,88.3639,Jaipur,26.9124,75.7873,,,150,100,120,2026-03-08T10:00:00+00:00,2026-03-09T16:00:00+00:00,express,general
SHP-0030,Hyderabad,17.3850,78.4867,Lucknow,26.8467,80.9462,950,1.2,100,80,,2026-03-08T07:00:00+00:00,,normal,fragile
