shipment_id,origin_city,origin_lat,origin_lng,dest_city,dest_lat,dest_lng,weight_kg,volume_m3,length_cm,width_cm,height_cm,delivery_start,delivery_end,priority,cargo_type
SHP-0001,Kochi,9.954847,76.28497,Mumbai,19.115218,72.836394,254,2.419,239,110,92,2026-03-08T08:15:31+00:00,2026-03-09T04:15:31+00:00,express,general
SHP-0002,Delhi,28.583784,77.223988,Chennai,13.087194,80.242744,1841,3.389,109,169,184,2026-03-08T05:15:31+00:00,2026-03-10T04:15:31+00:00,critical,fragile
SHP-0003,Delhi,28.574121,77.196993,Kolkata,22.558498,88.348296,3512,1.049,137,111,69,2026-03-08T08:15:31+00:00,2026-03-09T17:15:31+00:00,normal,general
SHP-0004,Nagpur,21.17874,79.100052,Hyderabad,17.421171,78.494435,4442,0.551,81,136,50,2026-03-08T13:15:31+00:00,2026-03-09T19:15:31+00:00,normal,general
SHP-0005,Kochi,9.926541,76.300711,Kolkata,22.538865,88.349427,2420,0.381,70,99,55,2026-03-08T11:15:31+00:00,2026-03-09T16:15:31+00:00,normal,general
SHP-0006,Lucknow,26.823695,80.988739,Nagpur,21.164616,79.060162,1451,1.347,186,102,71,2026-03-08T12:15:31+00:00,2026-03-10T00:15:31+00:00,normal,general
SHP-0007,Kolkata,22.610237,88.345368,Delhi,28.629444,77.198563,2634,0.755,152,108,46,2026-03-08T08:15:31+00:00,2026-03-10T08:15:31+00:00,express,general
SHP-0008,Bangalore,13.011382,77.58454,Chennai,13.054632,80.320454,2070,7.335,240,183,167,2026-03-08T09:15:31+00:00,2026-03-10T00:15:31+00:00,critical,refrigerated
SHP-0009,Mumbai,19.085641,72.866177,Delhi,28.623489,77.205805,948,1.246,89,200,70,2026-03-08T15:15:31+00:00,2026-03-10T06:15:31+00:00,normal,hazardous
SHP-0010,Delhi,28.575055,77.202477,Nagpur,21.141172,79.133582,988,3.886,224,177,98,2026-03-08T15:15:31+00:00,2026-03-10T00:15:31+00:00,normal,hazardous
SHP-0011,Chennai,13.093597,80.235984,Lucknow,26.872951,80.950138,921,5.766,272,200,106,2026-03-08T15:15:31+00:00,2026-03-10T11:15:31+00:00,critical,general
SHP-0012,Lucknow,26.802493,80.984001,Pune,18.565095,73.815265,4052,0.448,54,68,122,2026-03-08T09:15:31+00:00,2026-03-09T12:15:31+00:00,express,general
SHP-0013,Jaipur,26.915167,75.797959,Chennai,13.129136,80.313591,1101,5.967,218,161,170,2026-03-08T07:15:31+00:00,2026-03-09T11:15:31+00:00,normal,fragile
SHP-0014,Ahmedabad,22.99497,72.555209,Nagpur,21.154631,79.061211,3109,4.04,162,172,145,2026-03-08T06:15:31+00:00,2026-03-09T09:15:31+00:00,normal,general
SHP-0015,Mumbai,19.077416,72.855548,Nagpur,21.144341,79.092123,532,0.234,108,57,38,2026-03-08T10:15:31+00:00,2026-03-09T02:15:31+00:00,critical,hazardous
SHP-0016,Hyderabad,17.400898,78.47213,Kolkata,22.56371,88.400284,3924,2.875,256,144,78,2026-03-08T06:15:31+00:00,2026-03-09T00:15:31+00:00,normal,general
SHP-0017,Delhi,28.617529,77.173018,Hyderabad,17.353349,78.482963,2829,1.583,254,67,93,2026-03-08T08:15:31+00:00,2026-03-09T08:15:31+00:00,normal,refrigerated
SHP-0018,Jaipur,26.879031,75.785864,Mumbai,19.047375,72.867804,464,1.269,216,178,33,2026-03-08T06:15:31+00:00,2026-03-09T09:15:31+00:00,normal,general
SHP-0019,Ahmedabad,23.038687,72.570067,Delhi,28.58289,77.18077,3248,1.88,117,156,103,2026-03-08T11:15:31+00:00,2026-03-10T10:15:31+00:00,normal,hazardous
SHP-0020,Nagpur,21.146085,79.123472,Jaipur,26.878143,75.833378,549,1.272,241,120,44,2026-03-08T05:15:31+00:00,2026-03-09T23:15:31+00:00,normal,general
SHP-0021,Mumbai,19.050622,72.887152,Kochi,9.943138,76.259222,606,2.953,222,100,133,2026-03-08T06:15:31+00:00,2026-03-10T06:15:31+00:00,critical,hazardous
SHP-0022,Jaipur,26.875488,75.80185,Pune,18.516122,73.899602,2186,1.114,102,120,91,2026-03-08T09:15:31+00:00,2026-03-09T22:15:31+00:00,normal,general
SHP-0023,Hyderabad,17.36152,78.530026,Kochi,9.969286,76.305227,4662,0.726,75,58,167,2026-03-08T08:15:31+00:00,2026-03-10T04:15:31+00:00,normal,fragile
SHP-0024,Chennai,13.033482,80.30241,Jaipur,26.892338,75.803639,4500,5.005,230,117,186,2026-03-08T15:15:31+00:00,2026-03-10T12:15:31+00:00,normal,fragile
SHP-0025,Mumbai,19.097761,72.84806,Chennai,13.096124,80.247098,4582,0.99,89,109,102,2026-03-08T14:15:31+00:00,2026-03-09T15:15:31+00:00,express,fragile
SHP-0026,Delhi,28.641012,77.222711,Chennai,13.058896,80.294823,3519,1.182,262,110,41,2026-03-08T05:15:31+00:00,2026-03-09T14:15:31+00:00,critical,refrigerated
SHP-0027,Jaipur,26.920651,75.752109,Delhi,28.576645,77.189826,966,0.91,69,78,169,2026-03-08T05:15:31+00:00,2026-03-09T16:15:31+00:00,normal,fragile
SHP-0028,Kolkata,22.619984,88.388848,Nagpur,21.188376,79.061874,2094,1.742,220,66,120,2026-03-08T13:15:31+00:00,2026-03-10T03:15:31+00:00,normal,general
SHP-0029,Ahmedabad,22.999181,72.600137,Delhi,28.57471,77.246217,1519,4.016,238,125,135,2026-03-08T15:15:31+00:00,2026-03-09T18:15:31+00:00,express,general
SHP-0030,Kolkata,22.562447,88.34176,Jaipur,26.869342,75.814633,2914,1.091,128,98,87,2026-03-08T05:15:31+00:00,2026-03-09T05:15:31+00:00,normal,hazardous
SHP-0031,Ahmedabad,23.030559,72.619755,Nagpur,21.099626,79.097857,4442,0.372,134,47,59,2026-03-08T09:15:31+00:00,2026-03-09T08:15:31+00:00,normal,fragile
SHP-0032,Ahmedabad,22.976939,72.565006,Kochi,9.933192,76.297951,4239,1.93,79,138,177,2026-03-08T08:15:31+00:00,2026-03-09T12:15:31+00:00,normal,fragile
SHP-0033,Ahmedabad,23.023212,72.588089,Mumbai,19.058618,72.897421,2754,4.991,209,120,199,2026-03-08T06:15:31+00:00,2026-03-09T13:15:31+00:00,critical,general
